ID_Funcionario,Demitido,Idade,Faixa_Etaria,Genero,Estado_Civil,Maior_de_18,Distancia_de_Casa,Faixa_Distancia_de_Casa,Escolaridade,Area_de_Formacao,Departamento,Cargo,Nivel_do_Cargo,Renda_Mensal,Razão_salarial,Percentual_Aumento_Salario,StockOptionLevel,Valor_Hora,Valor_Diaria,Valor_Mensal,Hora_Extra,Viagens_a_Negocio,Envolvimento_com_Trabalho,Avaliacao_Desempenho,Treinamentos_Ano_Passado,Satisfacao_com_Ambiente,Satisfacao_com_Trabalho,Satisfacao_Relacionamento,Equilibrio_Vida_Trabalho,Satisfação_geral,Numero_de_Empresas_Anteriores,Total_Anos_Trabalhados,Anos_na_Empresa,Faixa_de_tempo_empresa,Anos_no_Cargo_Atual,Anos_Desde_Ultima_Promocao,Anos_com_Gerente_Atual,Contagem_de_Funcionarios,Horas_Padrao
1,Yes,41,Adulto,Female,Single,Y,1,Muito próxima,2,Life Sciences,Sales,Sales Executive,2,5993,1.0850878178736871,11,0,94,1102,19479,Yes,Travel_Rarely,3,3,0,2,4,1,1,8,8,8,6,Funcionário estabelecido,4,0,5,1,80
2,No,49,Maduro,Male,Married,Y,8,Próxima,1,Life Sciences,Research & Development,Research Scientist,2,5130,1.2676279322645239,23,1,61,279,24907,No,Travel_Frequently,2,4,3,3,2,4,3,12,1,10,10,Experiente,7,1,7,1,80
4,Yes,37,Adulto,Male,Single,Y,2,Muito próxima,2,Other,Research & Development,Laboratory Technician,1,2090,3.11145037919474,15,0,92,1373,2396,Yes,Travel_Rarely,2,3,3,4,3,2,3,12,6,7,0,Recém contratado,0,0,0,1,80
5,No,33,Adulto,Female,Married,Y,3,Muito próxima,4,Life Sciences,Research & Development,Research Scientist,1,2909,2.235452489693024,11,0,56,1392,23159,Yes,Travel_Frequently,3,3,3,4,3,3,3,13,1,8,8,Funcionário estabelecido,7,3,0,1,80
7,No,27,Jovem,Male,Married,Y,2,Muito próxima,1,Medical,Research & Development,Laboratory Technician,1,3468,1.8751243634708785,12,1,40,591,16632,No,Travel_Rarely,3,3,3,1,2,4,3,10,9,6,2,Inicio de carreira,2,2,2,1,80
8,No,32,Adulto,Male,Single,Y,2,Muito próxima,2,Life Sciences,Research & Development,Laboratory Technician,1,3068,2.119599508643092,13,0,79,1005,11864,No,Travel_Frequently,3,3,2,4,4,3,2,13,0,8,7,Funcionário estabelecido,7,3,6,1,80
10,No,59,Maduro,Female,Married,Y,3,Muito próxima,3,Medical,Research & Development,Laboratory Technician,1,2670,2.4355547912048716,20,3,81,1324,9964,Yes,Travel_Rarely,4,4,3,3,1,1,2,7,4,12,1,Recém contratado,0,0,0,1,80
11,No,30,Adulto,Male,Divorced,Y,24,Muito distantew,1,Life Sciences,Research & Development,Laboratory Technician,1,2693,2.4147535434522864,22,1,67,1358,13335,No,Travel_Rarely,3,4,2,4,3,2,3,12,1,1,1,Recém contratado,0,0,0,1,80
12,No,38,Adulto,Male,Single,Y,23,Muito distantew,3,Life Sciences,Research & Development,Manufacturing Director,3,9526,0.6826507760357975,21,0,44,216,8787,No,Travel_Frequently,2,4,2,4,3,2,3,12,0,10,9,Funcionário estabelecido,7,1,8,1,80
13,No,36,Adulto,Male,Married,Y,27,Muito distantew,3,Medical,Research & Development,Healthcare Representative,2,5237,1.2417283354051951,13,2,94,1299,16577,No,Travel_Rarely,3,3,3,3,3,2,2,10,6,17,7,Funcionário estabelecido,7,7,7,1,80
